barrio_1,ambientes,m2total,db_lo_num,preciousd,precio_x_m2,latitud,longitud
CABALLITO,2.0,52.0,70.0,151500.0,2913.4615384615386,-34.620928,-58.445874
CABALLITO,3.0,100.0,70.0,269000.0,2690.0,-34.612217,-58.431458
CABALLITO,4.0,95.0,70.0,225000.0,2368.4210526315787,-34.609359,-58.432569
CABALLITO,4.0,123.0,70.0,390000.0,3170.731707317073,-34.61162,-58.431611
CABALLITO,3.0,45.0,65.0,93000.0,2066.6666666666665,-34.614121,-58.435736
CABALLITO,2.0,32.0,65.0,65000.0,2031.25,-34.614121,-58.435736
CABALLITO,4.0,105.0,75.0,280000.0,2666.6666666666665,-34.623583,-58.443475
CABALLITO,3.0,166.0,75.0,235000.0,1415.6626506024097,-34.622451,-58.443884
CABALLITO,3.0,45.0,75.0,115000.0,2555.5555555555557,-34.622278,-58.445961
CABALLITO,3.0,70.0,70.0,169500.0,2421.4285714285716,-34.617588,-58.448175
CABALLITO,3.0,76.0,70.0,320000.0,4210.526315789473,-34.620928,-58.445874
CABALLITO,2.0,65.0,70.0,155000.0,2384.6153846153848,-34.617352,-58.457201
CABALLITO,1.0,39.0,70.0,88000.0,2256.4102564102564,-34.616941,-58.456124
CABALLITO,1.0,43.0,70.0,95000.0,2209.3023255813955,-34.616909,-58.455931
CABALLITO,2.0,52.0,70.0,145000.0,2788.4615384615386,-34.620928,-58.445874
CABALLITO,2.0,60.0,70.0,235000.0,3916.6666666666665,-34.612284,-58.443218
CABALLITO,3.0,100.0,75.0,210000.0,2100.0,-34.617494,-58.434751
CABALLITO,3.0,68.0,70.0,169000.0,2485.294117647059,-34.621054,-58.431891
CABALLITO,6.0,160.0,70.0,390000.0,2437.5,-34.621173,-58.433955
CABALLITO,5.0,100.0,65.0,210000.0,2100.0,-34.622274,-58.448773
CABALLITO,2.0,59.0,70.0,124000.0,2101.6949152542375,-34.616208,-58.451685
CABALLITO,3.0,48.0,70.0,145000.0,3020.8333333333335,-34.607758,-58.438442
CABALLITO,4.0,100.0,70.0,248000.0,2480.0,-34.608731,-58.443183
CABALLITO,4.0,157.0,75.0,360000.0,2292.9936305732485,-34.604957,-58.437923
CABALLITO,2.0,32.0,75.0,92000.0,2875.0,-34.621562,-58.44435
CABALLITO,2.0,55.0,65.0,126500.0,2300.0,-34.617568,-58.441635
CABALLITO,2.0,55.0,65.0,128300.0,2332.7272727272725,-34.617568,-58.441635
CABALLITO,2.0,55.0,65.0,135500.0,2463.6363636363635,-34.617568,-58.441635
CABALLITO,2.0,55.0,65.0,139100.0,2529.090909090909,-34.617568,-58.441635
CABALLITO,2.0,55.0,65.0,130100.0,2365.4545454545455,-34.617568,-58.441635
CABALLITO,2.0,55.0,65.0,130100.0,2365.4545454545455,-34.617568,-58.441635
CABALLITO,2.0,55.0,65.0,133700.0,2430.909090909091,-34.617568,-58.441635
CABALLITO,2.0,55.0,65.0,131900.0,2398.181818181818,-34.617568,-58.441635
CABALLITO,2.0,55.0,65.0,137300.0,2496.3636363636365,-34.617568,-58.441635
CABALLITO,2.0,38.0,70.0,93000.0,2447.3684210526317,-34.620729,-58.435998
CABALLITO,5.0,280.0,70.0,590000.0,2107.1428571428573,-34.619687,-58.430292
CABALLITO,2.0,55.0,70.0,147000.0,2672.7272727272725,-34.619741,-58.43034
CABALLITO,6.0,195.0,70.0,499000.0,2558.974358974359,-34.620928,-58.445874
CABALLITO,3.0,75.0,75.0,160000.0,2133.3333333333335,-34.609786,-58.441128
CABALLITO,3.0,43.0,70.0,135000.0,3139.5348837209303,-34.612407,-58.441704
CABALLITO,3.0,91.0,70.0,290000.0,3186.813186813187,-34.620928,-58.445874
CABALLITO,3.0,45.0,70.0,119000.0,2644.4444444444443,-34.611998,-58.442272
CABALLITO,3.0,52.0,70.0,119000.0,2288.4615384615386,-34.611998,-58.442272
CABALLITO,3.0,80.0,70.0,257278.0,3215.975,-34.61322,-58.441219
CABALLITO,4.0,134.0,70.0,425000.0,3171.6417910447763,-34.6241,-58.444779
CABALLITO,2.0,36.0,65.0,83000.0,2305.5555555555557,-34.623989,-58.442904
CABALLITO,4.0,100.0,70.0,310000.0,3100.0,-34.623748,-58.439374
CABALLITO,2.0,42.0,75.0,138000.0,3285.714285714286,-34.623824,-58.440738
CABALLITO,0.0,30.0,70.0,75000.0,2500.0,-34.620928,-58.445874
CABALLITO,2.0,31.0,60.0,74000.0,2387.0967741935483,-34.609779,-58.445502
CABALLITO,2.0,54.0,65.0,183000.0,3388.8888888888887,-34.627523,-58.439447
CABALLITO,4.0,133.0,65.0,384000.0,2887.218045112782,-34.627523,-58.439447
CABALLITO,3.0,79.0,65.0,239000.0,3025.3164556962024,-34.627523,-58.439447
